YM,JOIN_SN,JOIN_SN_TYP,SCTR_CD,COM_SN,IS_ME,LN_CD_1,LN_CD_2,LN_CD_3,LN_DT,LN_AMT,RATE_YN,RPY_CD,EXP_DT,RATE,RPY_AMT
201901,288219,1,24,3006154,0,0031,100,000,201507,880,0,00,000000,0,0
201806,288219,1,24,808400,0,0031,100,000,201507,2400,0,00,000000,0,0
201809,1311707,1,24,7178032,0,0031,100,000,201807,5500,0,00,000000,0,0
201907,518019,1,24,6728379,0,0031,100,000,201810,5900,1,01,202310,24000,0
201910,498400,1,24,2825770,0,0031,100,000,201612,1700,0,00,000000,0,0
202003,29169,1,24,4639350,0,0031,100,000,201001,17000,0,00,000000,0,0
201905,1303558,1,24,801309,0,0031,100,000,201801,17000,0,00,000000,0,0
201902,1218286,1,24,7332706,0,0031,100,000,201603,4000,0,00,000000,0,0
201808,1593802,1,24,4889361,0,0031,100,000,201509,3400,0,00,000000,0,0
201912,1028582,1,24,9547439,0,0031,100,000,201506,2700,1,01,202006,25000,0
201809,1450306,1,24,1055946,0,0031,100,000,201801,3200,0,00,000000,0,0
201912,256847,1,24,715542,0,0031,100,000,201602,2100,1,01,202102,30000,0
201904,347797,1,24,1956584,0,0031,100,000,201812,4300,0,00,000000,0,0
201908,1192843,1,24,8686328,0,0031,100,000,201303,2700,0,00,000000,0,0
201912,1934111,1,24,5403671,0,0031,290,000,201808,9300,1,01,202108,24000,0
201911,327475,1,24,640993,0,0031,100,000,201911,9000,1,04,202111,24000,0
201904,1114316,1,24,3219813,0,0031,100,000,201510,3100,0,00,000000,0,0
202006,731059,1,24,9774154,0,0031,100,000,201712,3000,1,04,202212,24000,0
201807,1724362,1,24,6807361,0,0031,100,000,201311,1900,0,00,000000,0,0
201905,1012844,1,24,2248450,0,0031,100,000,201707,1300,0,00,000000,0,0
202003,1869238,1,24,4348241,0,0031,100,000,201907,900,1,01,202407,24000,0
201908,70784,1,24,8593094,0,0031,100,000,201707,1000,1,04,202007,24000,0
201908,978075,1,24,3741434,0,0031,100,000,201712,2400,1,02,202012,28000,0
201904,127546,1,24,741593,0,0031,100,000,201612,2100,0,00,000000,0,0
202004,1302487,1,24,5635201,0,0031,100,000,201806,900,1,04,202005,24000,0
201810,283879,1,24,5613960,0,0031,100,000,201505,12000,0,00,000000,0,0
202002,518019,1,24,6728379,0,0031,100,000,201810,6400,1,01,202310,24000,0
201908,1579497,1,24,152834,0,0031,100,000,201708,12000,1,01,202208,28000,0
201806,1752841,1,24,6847354,0,0031,100,000,201802,1700,0,00,000000,0,0
201812,812698,1,24,2980617,0,0031,100,000,201507,15000,0,00,000000,0,0
201901,1724362,1,24,6807361,0,0031,100,000,201405,2200,0,00,000000,0,0
201912,1592430,1,24,5994503,0,0031,100,000,201706,3800,1,01,202006,28000,0
202001,1601647,1,24,6477367,0,0031,100,000,201306,360,0,00,000000,0,0
201910,112464,1,24,5031782,0,0031,100,000,201811,5500,1,04,202210,24000,0
201811,801488,1,24,7457842,0,0031,100,000,201604,3600,0,00,000000,0,0
201907,888544,1,24,1318551,0,0031,240,000,201609,13000,0,00,000000,0,0
201909,525621,1,24,1074381,0,0031,100,000,201705,1100,0,00,000000,0,0
201808,1768880,1,24,2352044,0,0031,100,000,201603,6500,0,00,000000,0,0
201903,1828640,1,24,4607526,0,0031,100,000,201710,2200,0,00,000000,0,0
201911,343589,1,24,7487795,0,0031,100,000,201512,6100,0,00,000000,0,0
201910,1898541,1,24,5067448,0,0031,100,000,201603,1200,1,01,202103,28000,0
201909,1578781,1,24,3549248,0,0031,100,000,201511,5600,0,00,000000,0,0
201909,716289,1,24,501705,0,0031,100,000,201512,12000,1,01,202012,30000,0
201808,1705091,1,24,4659495,0,0031,100,000,201803,5100,0,00,000000,0,0
201811,727125,1,24,6563614,0,0031,100,000,201702,3800,0,00,000000,0,0
201912,18047,1,24,6291680,0,0031,100,000,201502,2400,0,00,000000,0,0
201912,815540,1,24,7881100,0,0031,100,000,201508,2400,1,01,202008,28000,0
201911,563110,1,24,3407602,0,0031,100,000,201910,1300,1,01,202010,24000,0
201905,427265,1,24,1669764,0,0031,100,000,201812,2200,0,00,000000,0,0
201806,1192255,1,24,780877,0,0031,100,000,201609,2800,0,00,000000,0,0
201908,325526,1,24,5007634,0,0031,100,000,201802,2900,1,01,202102,24000,0
201906,560032,1,24,420901,0,0031,100,000,201406,2600,0,00,000000,0,0
201902,1212267,1,24,8127504,0,0031,100,000,201210,1500,0,00,000000,0,0
201810,1630411,1,24,9604266,0,0031,100,000,201612,700,0,00,000000,0,0
201908,1368152,1,24,4347501,0,0031,100,000,201706,540,1,01,202206,28000,0
201807,628107,1,24,9330286,0,0031,100,000,201712,1600,0,00,000000,0,0
201901,159954,1,24,6424373,0,0031,100,000,201807,2400,0,00,000000,0,0
201908,57536,1,24,9652239,0,0031,100,000,201608,7700,0,00,000000,0,0
201903,1166417,1,24,5405465,0,0031,100,000,201312,12000,0,00,000000,0,0
201809,398949,1,24,8677143,0,0031,100,000,201707,7000,0,00,000000,0,0
202003,29169,1,24,4639350,0,0031,100,000,201001,800,0,00,000000,0,0
201911,856216,1,24,1232234,0,0031,100,000,201803,100,1,04,201912,24000,0
201809,431957,1,24,8268406,0,0031,100,000,201706,16000,0,00,000000,0,0
201905,1873580,1,24,9638720,0,0031,100,000,201901,3400,0,00,000000,0,0
201812,246923,1,24,5744777,0,0031,100,000,201802,10000,0,00,000000,0,0
201912,552122,1,24,5490545,0,0031,510,000,201505,18000,0,00,000000,0,0
201905,1177091,1,24,8947713,0,0031,100,000,201508,2000,1,04,202008,30000,0
201909,1940094,1,24,1131304,0,0031,240,000,201408,630,0,00,000000,0,0
202001,1856483,1,24,2753085,0,0031,100,000,201912,3900,1,04,202410,24000,0
201807,1625999,1,24,8407353,0,0031,100,000,201505,2100,0,00,000000,0,0
201903,978075,1,24,3741434,0,0031,100,000,201712,3000,0,00,000000,0,0
201905,580622,1,24,8321995,0,0031,100,000,201109,10000,0,00,000000,0,0
201807,203069,1,24,4596428,0,0031,100,000,201607,2700,0,00,000000,0,0
201910,1876977,1,24,5759599,0,0031,100,000,201806,4000,1,01,202306,24000,0
201910,468886,1,24,3764136,0,0031,100,000,201602,3600,1,01,202102,30000,0
201806,246923,1,24,818707,0,0031,100,000,201608,8600,0,00,000000,0,0
201905,952870,1,24,9320846,0,0031,100,000,201705,5500,0,00,000000,0,0
201903,1215779,1,24,952002,0,0031,100,000,201601,3600,0,00,000000,0,0
201905,183636,1,24,4498716,0,0031,100,000,201810,6500,1,04,202306,24000,0
202002,1012213,1,24,6553913,0,0031,100,000,201203,16000,0,00,000000,0,0
201806,1692899,1,24,5364154,0,0031,100,000,201111,6500,0,00,000000,0,0
202001,1086252,1,24,9245091,0,0031,100,000,201508,3600,0,00,000000,0,0
201909,598980,1,24,451572,0,0031,100,000,201803,3900,1,01,202303,24000,0
201912,19050,1,24,1512102,0,0031,100,000,201907,11000,1,01,202407,24000,0
201903,335739,1,24,2819158,0,0031,100,000,201812,890,0,00,000000,0,0
201902,636549,1,24,9207082,0,0031,100,000,201510,3200,0,00,000000,0,0
201907,1552981,1,24,660964,0,0031,100,000,201504,3300,0,00,000000,0,0
201905,1669207,1,24,9940111,0,0031,100,000,201506,2400,1,01,202006,29000,0
202005,203220,1,24,2412843,0,0031,100,000,201406,7000,0,00,000000,0,0
201905,560032,1,24,8782086,0,0031,100,000,201208,9600,0,00,000000,0,0
201807,455892,1,24,183559,0,0031,100,000,201801,2700,0,00,000000,0,0
201904,978075,1,24,3741434,0,0031,100,000,201712,2900,1,02,202012,28000,0
201808,1208746,1,24,7700926,0,0031,100,000,201607,5000,0,00,000000,0,0
201808,1429484,1,24,2852012,0,0031,100,000,201710,4700,0,00,000000,0,0
201905,1803098,1,24,7138331,0,0031,100,000,201805,20000,1,04,202301,24000,0
201907,431957,1,24,6616109,0,0031,100,000,201707,350,1,04,201910,28000,0
202004,1547190,1,24,2932733,0,0031,100,000,202001,2700,1,01,202301,24000,0
202003,546786,1,24,1709849,0,0031,100,000,201907,500,1,04,202007,24000,0
202003,888544,1,24,1318551,0,0031,240,000,201609,13000,0,00,000000,0,0
202006,749385,1,24,8086215,0,0031,100,000,202003,8100,1,04,202203,24000,0
201912,598980,1,24,451572,0,0031,100,000,201803,3900,1,01,202303,24000,0
202003,1311201,1,24,4174103,0,0031,100,000,201310,100,0,00,000000,0,0
201902,737905,1,24,3366790,0,0031,100,000,201505,2400,0,00,000000,0,0
201907,1331940,1,24,2988494,0,0031,100,000,201512,2300,1,01,202012,30000,0
202003,1592430,1,24,5994503,0,0031,100,000,201706,3800,1,01,202006,28000,0
201812,1790931,1,24,9561531,0,0031,100,000,201505,3600,0,00,000000,0,0
202006,1192255,1,24,5987913,0,0031,100,000,201508,13000,1,01,202008,30000,0
201911,1174264,1,24,7869889,0,0031,100,000,201512,2700,1,01,202012,28000,0
201904,1045456,1,24,4730303,0,0031,100,000,201410,3800,0,00,000000,0,0
201807,7704,1,24,4131914,0,0031,220,000,201712,20000,0,00,000000,0,0
202006,53480,1,24,194396,0,0031,100,000,201807,1500,0,00,000000,0,0
201905,1129015,1,24,6942864,0,0031,100,000,201802,2400,1,01,202302,24000,0
201807,812698,1,24,2980617,0,0031,100,000,201507,15000,0,00,000000,0,0
202001,1377827,1,24,4275138,0,0031,100,000,201409,10000,0,00,000000,0,0
201905,404782,1,24,2863770,0,0031,100,000,201802,9900,1,04,202210,24000,0
201904,1820062,1,24,4132217,0,0031,100,000,201812,2400,0,00,000000,0,0
201902,1326679,1,24,1544454,0,0031,100,000,201607,670,0,00,000000,0,0
201809,864980,1,24,7114386,0,0031,100,000,201707,12000,0,00,000000,0,0
201905,1803098,1,24,6511662,0,0031,100,000,201611,1800,1,04,202109,28000,0
201903,1335818,1,24,8308406,0,0031,100,000,201611,2100,0,00,000000,0,0
202004,48064,1,24,3781194,0,0031,510,000,201606,790,0,00,000000,0,0
201807,1495760,1,24,6978698,0,0031,100,000,201505,3600,0,00,000000,0,0
201809,1147085,1,24,8412528,0,0031,290,000,201803,8200,0,00,000000,0,0
201905,518551,1,24,6104545,0,0031,100,000,201610,620,1,04,201910,28000,0
201910,888544,1,24,1136,0,0031,100,000,201703,1100,0,00,000000,0,0
201905,1281289,1,24,9238086,0,0031,100,000,201602,4100,1,01,202102,28000,0
201806,1326679,1,24,1544454,0,0031,100,000,201607,1600,0,00,000000,0,0
201909,177795,1,24,451509,0,0031,100,000,201903,2100,1,04,202203,24000,0
201806,1552981,1,24,660964,0,0031,100,000,201508,8800,0,00,000000,0,0
201907,1086997,1,24,1749554,0,0031,100,000,201212,3400,0,00,000000,0,0
201811,7704,1,24,4131914,0,0031,220,000,201712,20000,0,00,000000,0,0
201807,731059,1,24,9173256,0,0031,100,000,201712,5500,0,00,000000,0,0
